Removed Pin From Net: NetName=NetC10_1 Pin=R9-1
Removed Pin From Net: NetName=GND Pin=U6-6
Change Component Comment : Designator=R33 Old Comment=1K5 1% New Comment=10K 1%
Change Component Comment : Designator=R34 Old Comment=1K5 1% New Comment=10K 1%
Change Component Comment : Designator=R9 Old Comment=14K 1% New Comment=9K31
Change Component Comment : Designator=R10 Old Comment=115K 1% New Comment=69K8
Change component parameters: Designator = "BAT1" ("BAT1"); Footprint = "CR1220H"; UniqueID = "\NJAAVEHV\BYFYWECB" ("\NJAAVEHV\BYFYWECB")
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT1K00CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R37" ("R37"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\VSLTGFCI" ("\MLKEBXPQ\VSLTGFCI")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R38" ("R38"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\BXNJJFJV" ("\MLKEBXPQ\BXNJJFJV")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R39" ("R39"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\HCHVKXWA" ("\MLKEBXPQ\HCHVKXWA")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R40" ("R40"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\XBXMXHIX" ("\MLKEBXPQ\XBXMXHIX")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R41" ("R41"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\QXEXOCLG" ("\MLKEBXPQ\QXEXOCLG")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R42" ("R42"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\UTYASRGE" ("\MLKEBXPQ\UTYASRGE")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R43" ("R43"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\MYJKBPOE" ("\MLKEBXPQ\MYJKBPOE")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R44" ("R44"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\NWTXDHEQ" ("\MLKEBXPQ\NWTXDHEQ")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R45" ("R45"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\VSBFNXLH" ("\MLKEBXPQ\VSBFNXLH")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R46" ("R46"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\AAUYBOKD" ("\MLKEBXPQ\AAUYBOKD")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_DNP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "DNP"; VariantName = "[No Variations]"
Change component parameters: Designator = "R47" ("R47"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\KHKNNXSB" ("\MLKEBXPQ\KHKNNXSB")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R48" ("R48"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\VGDRRSMI" ("\MLKEBXPQ\VGDRRSMI")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R49" ("R49"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\DUCGLVQQ" ("\MLKEBXPQ\DUCGLVQQ")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R50" ("R50"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\JKXRMOFY" ("\MLKEBXPQ\JKXRMOFY")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R51" ("R51"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\PCYAQHPD" ("\MLKEBXPQ\PCYAQHPD")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R52" ("R52"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\MJSHGVVC" ("\MLKEBXPQ\MJSHGVVC")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402FT100K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100K_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT100KCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K 1%"; VariantName = "[No Variations]"
Change component parameters: Designator = "R53" ("R53"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\PDNBYAAN" ("\MLKEBXPQ\PDNBYAAN")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R54" ("R54"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\WWSALDKW" ("\MLKEBXPQ\WWSALDKW")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R55" ("R55"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\YDOYVCAG" ("\MLKEBXPQ\YDOYVCAG")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402FT100K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100K_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT100KCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K 1%"; VariantName = "[No Variations]"
Change component parameters: Designator = "R56" ("R56"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\RYSDJAPT" ("\MLKEBXPQ\RYSDJAPT")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R57" ("R57"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\CISQSGQO" ("\MLKEBXPQ\CISQSGQO")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402FT10K0TR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_10K_1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402FT10K0TR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10K 1%"; VariantName = "[No Variations]"
Change component parameters: Designator = "R58" ("R58"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\VFPRMWDM" ("\MLKEBXPQ\VFPRMWDM")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0402JT100R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RES0402_100R_5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Precio"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publico"; Value = "EB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Unit Price 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R59" ("R59"); Footprint = "0402"; UniqueID = "\MLKEBXPQ\UPNEXBHI" ("\MLKEBXPQ\UPNEXBHI")
Change component parameters (AddParameter): Name = "Aprobo"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey PN"; Value = "RMCF0402JT100RCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
